Qualifications,Employment_Type,Age,City,State,Pincode,Gender,Product_Code,Loan_Amount,LTV,Resident_Type,Net_salary,Final_Tier,Make_Code,Model_Description,Model_Variant,PAST_LOANS_ACTIVE,Decision
OTHERS,SEP,27,Panamarathupatti,TN,636204,Male,SC,91683,81.86,O,30000,07 Rural,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,NREGI,46,Sankaridrug,TN,637301,Male,SC,95022,87.98,O,30000,07 Rural,JUPITER,JUPITER BSVI - SMW,110 CC,NO_PAST_LOANS,APPROVED
OTHERS,AGR,44,Chamrajpet ,TN,636451,Male,MO,68400,86.58,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
UG,SAL,51,Alapatti,TN,635122,Male,EB,146630,89.68,O,30000,07 Rural,TVS,TVS IQUBE S,EBIKE,PAST_LOANS_ACTIVE,APPROVED
HSC,AGR,54,Mangalapuram,TN,636202,Male,SC,105526,83.75,O,28000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
HSC,AGR,61,Paupparapatti,TN,636809,Male,MO,71250,87.96,O,35000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,DECLINED
OTHERS,SAL,37,Kalappanaickenpatti,TN,637404,Female,SC,97155,83.04,O,25000,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,38,Kambainallore,TN,635202,Female,SC,88253,81.72,O,35000,07 Rural,JUPITER,JUPITER BSVI - SMW,110 CC,PAST_LOANS_ACTIVE,APPROVED
PG,SAL,55,Nallampalli,TN,636807,Male,SC,100848,77.58,O,80000,06 Semi-Urban,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,28,Tiruchengodu,TN,637211,Male,MC,112800,82.94,O,30000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
HSC,SAL,35,Kallavi,TN,635304,Male,SC,84711,88.61,O,2,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,42,Iim Joka,WB,700104,Female,SC,92834,79.51,O,21500,07 Rural,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,AGR,21,Balua Tri Bazar,BR,845404,Male,MC,99917,86.02,O,26000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,NREGI,48,Sarisha,WB,743368,Male,MC,127574,78.75,O,22000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
GRAD,SEP,48,Gangnapur,WB,741238,Male,MC,120778,71.46,O,30000,07 Rural,APACHE,TVS APACHE RTR 160 4V BSVI - U626,160 DISC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,24,Bediadanga,WB,700039,Male,SC,57985,48.29,O,32000,02 Megapolis (B),NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,22,Pathar Pratima,WB,743371,Male,MC,90630,76.43,O,30000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
UG,SEP,51,Hanamkonda,AP,506001,Male,MO,70000,84.85,O,68000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,37,Arambagh,WB,712601,Female,SC,54850,48.11,O,35000,06 Semi-Urban,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
HSC,STU,19,Pandua,WB,712149,Male,MC,151466,90.16,O,0,07 Rural,APACHE,TVS APACHE RTR 160 4V BSVI - U626,160 DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,29,Bishnupur Uth 24 Parganas,WB,743503,Male,MC,107333,70.57,O,24000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,45,Bijoypur,WB,700110,Female,SC,109413,91.12,O,29800,06 Semi-Urban,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
SSC,NREGI,33,Nilganj Bazaar,WB,700121,Male,MC,73243,62.07,O,18000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
GRAD,SEP,26,Dayer Bazar,WB,741164,Male,MC,115752,74.16,O,27000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,NO_PAST_LOANS,APPROVED
HSC,SEP,31,Khanakul,WB,712406,Male,SC,83185,70.14,O,30000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
HSC,SEP,56,Dhubulia T B Spital,WB,741140,Male,MC,129771,79.32,O,26000,07 Rural,APACHE,APACHE RTR 180 RM BSVI,APACHE 180 CC,NO_PAST_LOANS,APPROVED
HSC,SAL,33,Betai,WB,741163,Male,SC,85933,73.45,O,40000,06 Semi-Urban,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,53,Gangavathi,KA,584130,Male,MO,33087,47.81,O,32000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,37,Plassey,WB,741156,Male,MC,80622,59.76,O,32000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,AGR,26,Bagchi Jamsherpur,WB,741122,Male,MC,118866,78.13,O,26000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
PG,SEP,36,Barabazar H O,WB,700007,Male,MC,96865,81.4,O,40000,02 Megapolis (B),RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,PAST_LOANS_ACTIVE,DECLINED
HSC,SEP,30,Kaliganj,WB,741150,Male,MC,92403,78.92,O,30000,07 Rural,RAIDER,TVS RAIDER DISC SS BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,SEP,37,Paglachandi,WB,741181,Male,MC,85733,69.87,O,28000,06 Semi-Urban,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
HSC,SEP,38,Bethuadahari,WB,741126,Male,MC,75821,83.26,O,28000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,NO_PAST_LOANS,APPROVED
OTHERS,SEP,30,Nanpur,BR,843333,Male,MC,95710,82.51,O,23000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,32,Kaluahi,BR,847229,Female,MO,67000,91.78,O,28000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,DECLINED
OTHERS,SEP,32,Debagram,WB,741137,Male,MC,100324,81.76,O,28000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,AGR,26,Chiraiya,BR,845415,Male,MO,64319,87.2,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,31,Pandua,WB,712149,Male,MC,132615,87.25,O,25000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
SSC,SEP,23,Fateh Kadal,JK,190002,Male,MC,69685,75.82,O,10000,04 Metro,CITY PLUS,STARCITY PLUS ES BSVI – MONO TONE,STAR CITY PLUS,NO_PAST_LOANS,APPROVED
SSC,AGR,42,Khutauna,BR,847227,Male,MC,68500,57.05,O,28000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
GRAD,SEP,31,Madhubani,BR,847211,Male,MC,70818,87.73,O,28500,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,PAST_LOANS_ACTIVE,APPROVED
SSC,SEP,48,Muzaffarpur,BR,842001,Male,MC,56200,69.62,O,32500,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
HSC,SEP,23,Lauriya,BR,845453,Male,MC,115500,76.04,O,30000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
UG,SAL,25,Chalthan,GJ,394305,Male,MC,98000,83.31,O,60000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
HSC,SAL,50,New Market Pilkhauwa,UP,245304,Male,MO,49827,91.56,O,28000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,NREGI,22,Madhugiri,KA,572132,Male,MC,72684,77.32,O,30000,07 Rural,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
OTHERS,AGR,49,Rajampet,AP,503110,Male,MO,71150,86.24,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,AGR,33,Kallar,KL,685552,Female,SC,105600,81.69,O,40000,06 Semi-Urban,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,NREGI,36,Edayarnmula,KL,689532,Male,SC,120336,88.83,O,25000,06 Semi-Urban,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,55,Ochira,KL,690526,Female,SC,94486,84.97,O,23000,06 Semi-Urban,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,20,Bajpatti,BR,843314,Male,MO,61148,82.9,O,20000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,35,Industrial Colony Pettai,TN,627010,Male,MO,46629,71.74,O,35000,06 Semi-Urban,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,43,Ambalavanapuram,TN,627425,Female,MO,54802,66.83,O,18000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,50,Melanilithanallur,TN,627953,Male,MO,71623,89.53,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,AGR,54,Alwarkurichi,TN,627412,Male,MO,53626,65.4,O,20000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
HSC,AGR,34,Patiladaha,AS,783391,Male,MC,132960,84.92,O,37000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
PG,NREGI,32,Ganapathipuram,TN,629502,Female,SC,58850,58.56,O,40000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,45,Ilanji,TN,627805,Male,SC,87563,87.13,O,25000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
PG,SEP,31,Deepanjalinagar,KA,560026,Female,SC,94797,84.32,O,80000,02 Megapolis (B),JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SAL,41,Asaripallam,TN,629201,Female,SC,91000,90.55,O,40000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,37,Tenkasi,TN,627811,Male,SC,110441,89.07,O,48000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
OTHERS,SEP,63,Alagesapuram,TN,628002,Male,MO,69900,87.27,O,50000,05 Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,27,Lanka ,AS,782446,Female,SC,86394,70.82,O,26000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
OTHERS,AGR,40,Maruthakulam,TN,627151,Female,MO,70629,83.09,O,35000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,31,Tirunelveli Merku,TN,627006,Male,MO,57513,70.14,O,35000,05 Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,SAL,24,Kallidaikurichi,TN,627416,Male,MC,97597,75.07,O,35000,06 Semi-Urban,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,60,Colachel Port,TN,629251,Male,MO,38800,45.65,O,40000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
SSC,AGR,31,Kulathur ,TN,628903,Male,MO,62638,76.39,O,35000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
PG,NREGI,32,Kottar,TN,629002,Male,SC,108300,90.63,O,40000,05 Urban,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,NO_PAST_LOANS,APPROVED
OTHERS,NREGI,20,Tirunelveli,TN,627001,Female,SC,57563,58.14,O,35000,07 Rural,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,NO_PAST_LOANS,APPROVED
GRAD,SAL,43,Nagercoil,TN,629001,Female,SC,95500,77.02,O,40000,07 Rural,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
PG,SEP,21,Dokmaka,AS,782441,Male,SC,98500,73.95,O,29000,07 Rural,NTORQ,NTORQ 125 XT BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,45,Brahmadesam Tirunelveli,TN,627413,Male,MO,62599,76.34,O,18000,06 Semi-Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
OTHERS,SAL,31,Kallurani,TN,626105,Male,MC,113858,87.58,O,50000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
SSC,AGR,32,Perunali,TN,623115,Female,SC,93300,84.82,O,30000,06 Semi-Urban,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
SSC,NREGI,24,Degloor,MH,431717,Male,SC,102803,84.93,O,30000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SEP,42,Wadner,MH,442307,Male,SC,84500,72.94,O,40000,05 Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
HSC,AGR,40,Umarkhed,MH,445206,Male,MC,90432,75.36,O,32000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,SAL,26,Yavatmal,MH,445001,Male,SC,90280,80.46,O,14000,07 Rural,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,NO_PAST_LOANS,APPROVED
GRAD,SEP,57,Chandrapur,MH,442401,Female,SC,76033,77.46,O,20000,07 Rural,JUPITER,JUPITER BSVI - SMW,110 CC,NO_PAST_LOANS,APPROVED
SSC,SEP,35,Bidada,GJ,370435,Male,MC,109273,86.04,O,45000,07 Rural,RAIDER,TVS RAIDER DISC CONNECTED BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,21,Chandrapur,MH,442401,Male,MC,135244,81.96,O,19500,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
GRAD,SEP,24,Dr.Ambedkar Marg,MH,440017,Male,MO,42116,55.77,R,30000,04 Metro,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
GRAD,SEP,21,Jaynagar Bazar,BR,847226,Male,SC,102253,86.39,O,28500,06 Semi-Urban,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,NO_PAST_LOANS,APPROVED
PG,SEP,42,Forbesganj,BR,854318,Male,MC,112592,76.1,O,34000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,NO_PAST_LOANS,APPROVED
PG,SEP,24,Singheshwar,BR,852128,Male,MC,128947,84.89,O,37500,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,32,Bahadurganj Kishanganj,BR,855101,Female,SC,98241,83,O,21000,07 Rural,JUPITER,JUPITER 125 BSVI DISC SXC U566,125CC DISC,PAST_LOANS_ACTIVE,APPROVED
UG,AGR,46,Mahishi,BR,852216,Male,MC,89420,76.99,O,32000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,SAL,32,Noushara,JK,190011,Female,SC,81184,74.83,O,20000,04 Metro,JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,NO_PAST_LOANS,APPROVED
GRAD,SAL,29,Khanyar,JK,190003,Male,SC,74229,77.25,O,25000,04 Metro,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SAL,19,Mawkyrwat,ML,793114,Male,SC,87702,77.39,O,25000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,APPROVED
PG,SAL,34,Mungeli,CG,495334,Male,MO,55780,72.72,O,25000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI - WINNER EDITION,XL 100CC,NO_PAST_LOANS,APPROVED
GRAD,SEP,52,Jagdalpur,CG,494001,Male,MO,40708,60.88,O,30000,06 Semi-Urban,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
PG,SAL,25,Durg,CG,491001,Male,SC,92176,82.82,O,30000,07 Rural,JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,44,Pathalgaon,CG,496118,Male,MC,101005,84.88,O,32000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,SEP,23,Chakarbhata Camp,CG,495220,Male,MC,92000,75.41,O,35000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,SAL,33,Pathalgaon,CG,496118,Male,MO,63707,87.27,O,32000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
SSC,SAL,31,Bhakhara,CG,493770,Male,MO,60964,84.91,O,25000,05 Urban,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
HSC,SEP,24,Missa,AS,782138,Male,MC,112482,91.8,O,25000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
PG,SAL,53,Gonda,UP,271001,Male,MC,92059,79.7,O,30000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,53,Ulundurpet Busstand,TN,606107,Male,SC,79950,72.75,O,25000,07 Rural,JUPITER,JUPITER ZX DISC - SXC BSVI,110 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,NREGI,34,Gagalheri,UP,247669,Male,MC,73176,86.71,O,35000,06 Semi-Urban,RADEON,TVS RADEON 110 ES MAG BSVI,RADEON,NO_PAST_LOANS,APPROVED
SSC,NREGI,22,Dhanpur,GJ,389382,Male,MC,71681,84.43,O,45000,07 Rural,SPORT,TVS SPORT ELS BSVI,SPORT,NO_PAST_LOANS,APPROVED
GRAD,SAL,23,Gunnaur,UP,202421,Male,MC,62390,82.86,O,26500,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
HSC,SAL,29,Gummidipundi,TN,601201,Female,SC,92685,87.85,O,20000,06 Semi-Urban,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
GRAD,SEP,37,Jalley,BR,847302,Male,MC,91884,76.52,O,27000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,SEP,30,Karora,UP,203129,Male,MC,60626,81.04,O,28000,07 Rural,SPORT,TVS SPORT ES BSVI - U559,SPORT,PAST_LOANS_ACTIVE,APPROVED
GRAD,SAL,27,Pallikonda,TN,635809,Male,MC,139381,81.04,O,35000,07 Rural,APACHE,TVS APACHE RTR 160 4V BSVI - U626,160 DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,22,Madipakkam,TN,600091,Male,MO,59446,75.79,R,30000,04 Metro,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,PAST_LOANS_ACTIVE,DECLINED
GRAD,SAL,23,Bndsi,HA,122102,Male,SC,100900,84.97,O,25000,06 Semi-Urban,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
PG,AGR,37,Nutakki,AP,522303,Female,MO,63071,86.05,O,45000,07 Rural,MOPEDS,TVS XL 100 HD KS BSVI,XL 100CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,25,Chatra Chatra,JH,825401,Male,MC,94000,78.29,O,28000,07 Rural,RAIDER,TVS RAIDER DISC SSE BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,SEP,29,Maraimalai Nagar,TN,603209,Female,SC,98970,79.43,O,30000,06 Semi-Urban,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
UG,SAL,32,Industrial Estate ,MH,422007,Female,SC,85672,87.28,O,20000,04 Metro,JUPITER,JUPITER BSVI - SMW,110 CC,PAST_LOANS_ACTIVE,APPROVED
PG,SAL,24,Nellitpe,PY,605005,Male,SC,76621,76.58,O,35000,05 Urban,JUPITER,JUPITER 125 DRUM BSVI - ALLOY WHEEL,125 CC DRUM,PAST_LOANS_ACTIVE,APPROVED
SSC,SEP,26,Postal Traning Centre,BR,846005,Male,MC,125373,84.72,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DRUM BSVI,160 DRUM,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,39,Mangadu,TN,600122,Female,SC,116527,91.18,O,30000,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,AGR,24,Mungaoli,MP,473443,Male,MC,91312,77.26,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
GRAD,SAL,33,Kopargaon,MH,423601,Male,SC,100717,94.57,O,29500,07 Rural,JUPITER,JUPITER ZX BSVI - AOL - DRUM,110 CC,NO_PAST_LOANS,APPROVED
HSC,NREGI,28,Spin,JK,192303,Female,SC,97801,80.87,O,30000,06 Semi-Urban,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
HSC,SEP,27,Mansurchak,BR,851128,Male,MC,137221,88.19,O,35000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BT BSVI,160 DISC,PAST_LOANS_ACTIVE,DECLINED
OTHERS,SAL,44,Naduvannur,KL,673614,Female,SC,98451,77.38,O,26000,06 Semi-Urban,JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,NO_PAST_LOANS,APPROVED
UG,SEP,19,Baisi,BR,854315,Female,MC,70119,60.37,O,20000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,APPROVED
OTHERS,NREGI,31,Rajaldesar Bazar,RJ,331802,Male,MC,136313,84.9,O,25000,07 Rural,APACHE,TVS APACHE RTR 160 4V - RM SPL EDITION BSVI,160 DISC,NO_PAST_LOANS,APPROVED
OTHERS,NREGI,44,Budgam,JK,191111,Male,SC,96579,79.86,O,30000,07 Rural,NTORQ,TVS NTORQ 125 RACE XP BSVI,125 CC,NO_PAST_LOANS,APPROVED
OTHERS,NREGI,37,Fatehpur Bazar,RJ,332301,Male,MC,99528,84.99,O,35000,07 Rural,RAIDER,TVS RAIDER DISC BSVI,RAIDER,NO_PAST_LOANS,DECLINED
HSC,SEP,23,Majhaulia Rs,BR,845454,Male,MC,132805,87.43,O,29000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,NO_PAST_LOANS,APPROVED
GRAD,AGR,24,Murickassery,KL,685604,Male,SC,115600,89.43,O,40000,06 Semi-Urban,NTORQ,NTORQ 125 DISC – RACE EDITION BSVI,125 CC,PAST_LOANS_ACTIVE,APPROVED
SSC,NREGI,40,Bykere,KA,573127,Female,SC,79889,76.56,O,35000,06 Semi-Urban,JUPITER,JUPITER BSVI - AOL,110 CC,PAST_LOANS_ACTIVE,APPROVED
SSC,SAL,44,Kukatpally,AP,500072,Male,SC,98791,83.72,O,25000,02 Megapolis (B),JUPITER,JUPITER 125 BSVI - DISC,125 CC DISC,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,43,Saharanpur,UP,247001,Male,MO,64243,88.38,O,30000,07 Rural,MOPEDS,TVS XL 100 HD ITS BSVI,XL 100CC,NO_PAST_LOANS,APPROVED
GRAD,SAL,29,Bebejia,AS,782142,Male,SC,111918,89.89,O,32500,07 Rural,NTORQ,NTORQ 125 DISC - SUPER SQUAD EDITION BSVI,125 CC,NO_PAST_LOANS,DECLINED
HSC,SEP,34,Ambikapur,CG,497001,Male,MC,115572,76.04,O,60000,07 Rural,APACHE,APACHE RTR 160 2V RM DISC BSVI,160 DISC,PAST_LOANS_ACTIVE,APPROVED
SSC,SAL,40,Reddiarpalayam,PY,605010,Female,SC,65306,76.65,O,20000,05 Urban,ZEST,SCOOTY ZEST MATTE SERIES - BSVI,SCOOTY,PAST_LOANS_ACTIVE,APPROVED
OTHERS,SEP,28,Melpattambakkam,TN,607104,Male,MC,85086,85.67,O,48500,07 Rural,RADEON,TVS RADEON BSVI DISC DUAL TONE,RADEON,PAST_LOANS_ACTIVE,APPROVED
